id,first_name,last_name,enterprise_name,address,city,cin,phone,email,products,total_price,free_shipping,status,created_at,updated_at
1,Aniya,Weimann,,"84256 Beverly Road
Wisozkport, OH 50308","Port Magdalenafurt",2697968292813005,1-661-660-9927,langosh.theron@marvin.com,"4,#003200,M 4,#003200,M",790.86,1,canceld,2023-12-13T04:57:44.000000Z,2024-05-23T18:40:14.000000Z
2,Einar,Mills,,"17586 Klein Oval
Kalliestad, WI 02722-0409",Kemmerfurt,5263129004057756,424-452-1258,lbeahan@hotmail.com,"1,#ffffff,S 1,#ffffff,S",227.57,1,pending,2024-01-07T19:52:34.000000Z,2024-05-23T18:40:14.000000Z
3,Brendan,Nader,,"61565 Renner Islands
Josephinebury, MD 32971",Kaelynton,5119186675206431,734.284.1812,grimes.hazle@hotmail.com,"4,#003200,M 3,#000ff0,XL",305.29,0,failed,2024-01-29T02:43:45.000000Z,2024-05-23T18:40:14.000000Z
4,Alexys,Tromp,,"8117 Kelley Points Suite 005
Hymanstad, CT 78804-9823","West Annaview",5585073466406872,669.871.6585,moises.heathcote@dach.com,"4,#003200,M 2,#000000,L ",182.93,1,failed,2023-10-01T17:02:42.000000Z,2024-05-23T18:40:14.000000Z
5,Rose,Swaniawski,,"797 Tromp Inlet Apt. 470
South Daronview, MT 86474",Maryjanefort,2659494881616077,1-276-426-5803,zena.stiedemann@rogahn.com,"5,#ff0000,S 2,#000000,L ",284.39,1,failed,2024-02-02T02:20:43.000000Z,2024-05-23T18:40:14.000000Z
6,Elza,Kohler,,"73730 Koch Lakes Suite 500
O'Keefestad, NH 72291",Blancaburgh,4916339764436,330.618.1405,kemmer.tristian@hodkiewicz.info,"2,#000000,L  1,#ffffff,S",855.11,0,failed,2023-09-01T16:04:34.000000Z,2024-05-23T18:40:14.000000Z
7,Leora,Yost,,"94540 Swift Ways Suite 457
Kovacektown, GA 19601",Hartmanntown,4929831843000801,"+1 (817) 529-8345",qzemlak@gleichner.info,"2,#000000,L  1,#ffffff,S",636.73,1,canceld,2023-10-27T21:39:56.000000Z,2024-05-23T18:40:14.000000Z
8,Scotty,Rowe,,"3543 Nienow Run
Bergnaumside, FL 05028",Goodwinport,4929621657941343,820-865-1089,joannie.mosciski@oreilly.com,"5,#ff0000,S 4,#003200,M",224.84,1,paid,2023-08-20T08:51:41.000000Z,2024-05-23T18:40:14.000000Z
9,Mekhi,Schamberger,,"3120 Rose Skyway Suite 227
Lake Erik, ME 05841","North Dedrictown",5288368010790775,+1.442.463.0040,boyer.cristopher@gmail.com,"1,#ffffff,S 5,#ff0000,S",612.54,1,verified,2023-07-03T03:20:25.000000Z,2024-05-23T18:40:14.000000Z
10,Junius,Rippin,,"1557 Vena Glens Suite 187
Lake Aiyana, NV 81097",Franciscoborough,5414966067523101,740-214-8714,rylan65@hansen.com,"3,#000ff0,XL 2,#000000,L ",756.01,1,canceld,2023-09-10T23:24:42.000000Z,2024-05-23T18:40:14.000000Z
